CodigoNacional,momento,RRR6_Valor,Traza_Valor
330019,19-02-2019 18:00:00,0,0
330019,20-02-2019 00:00:00,0,0
330019,20-02-2019 12:00:00,0,0
330019,20-02-2019 18:00:00,0,0
330019,21-02-2019 00:00:00,0,0
330019,21-02-2019 12:00:00,0,0
330019,21-02-2019 18:00:00,0,0
330019,22-02-2019 00:00:00,0,0
330019,22-02-2019 12:00:00,0,0
330019,22-02-2019 18:00:00,,0
330019,23-02-2019 00:00:00,0,0
330019,23-02-2019 12:00:00,0,0
330019,23-02-2019 18:00:00,0,0
330019,24-02-2019 00:00:00,0,0
330019,24-02-2019 12:00:00,0,0
330019,24-02-2019 18:00:00,0,0
330019,25-02-2019 00:00:00,0,0
330019,25-02-2019 12:00:00,0,0
330019,25-02-2019 18:00:00,0,0
330019,26-02-2019 00:00:00,0,0
330019,26-02-2019 12:00:00,0,0
330019,26-02-2019 18:00:00,0,0
330019,27-02-2019 00:00:00,0,0
330019,27-02-2019 12:00:00,0,0
330019,27-02-2019 18:00:00,0,0
330019,28-02-2019 00:00:00,0,0
330019,28-02-2019 12:00:00,0,0
330019,28-02-2019 18:00:00,0,0
330019,1/3/19 0:00,0,0
330019,1/3/19 12:00,0,0
330019,1/3/19 18:00,0,0
330019,2/3/19 0:00,0,0
330019,2/3/19 12:00,0,0
330019,2/3/19 18:00,0,0
330019,3/3/19 0:00,0,0
330019,3/3/19 12:00,0,0
330019,3/3/19 18:00,0,0
330019,4/3/19 0:00,0,0
330019,4/3/19 12:00,0,0
330019,4/3/19 18:00,0,0
330019,5/3/19 0:00,0,0
330019,5/3/19 12:00,0,0
330019,5/3/19 18:00,0,0
330019,6/3/19 0:00,,0
330019,6/3/19 12:00,0,0
330019,6/3/19 18:00,0,0
330019,7/3/19 0:00,0,0
330019,7/3/19 12:00,0,0
330019,7/3/19 18:00,0,0
330019,8/3/19 0:00,0,0
330019,8/3/19 12:00,0,0
330019,8/3/19 18:00,0,0
330019,9/3/19 0:00,0,0
330019,9/3/19 12:00,0,0
330019,9/3/19 18:00,0,0
330019,10/3/19 0:00,0,0
330019,10/3/19 12:00,0,0
330019,10/3/19 18:00,0,0
330019,11/3/19 0:00,0,0
330019,11/3/19 12:00,0,0
330019,11/3/19 18:00,0,0
330019,12/3/19 0:00,0,0
330019,12/3/19 12:00,0,0
330019,12/3/19 18:00,0,0
330019,13-03-2019 00:00:00,0,0
330019,13-03-2019 12:00:00,0,0
330019,13-03-2019 18:00:00,0,0
330019,14-03-2019 00:00:00,0,0
330019,14-03-2019 12:00:00,0,0
330019,14-03-2019 18:00:00,0,0
330019,15-03-2019 00:00:00,0,0
330019,15-03-2019 12:00:00,0,0
330019,15-03-2019 18:00:00,0,0
330019,16-03-2019 00:00:00,0,0
330019,16-03-2019 12:00:00,0,0
330019,16-03-2019 18:00:00,0,0
330019,17-03-2019 00:00:00,0,0
330019,17-03-2019 12:00:00,0,0
330019,17-03-2019 18:00:00,0,0
330019,18-03-2019 00:00:00,,0
330019,18-03-2019 12:00:00,0,0
330019,18-03-2019 18:00:00,0,0
330019,19-03-2019 00:00:00,0,0
330019,19-03-2019 12:00:00,0,0
330019,19-03-2019 18:00:00,0,0
330019,20-03-2019 00:00:00,0,0
330019,20-03-2019 12:00:00,0,0
330019,20-03-2019 18:00:00,0,0
330019,21-03-2019 00:00:00,0,0
330019,21-03-2019 12:00:00,0,0
330019,21-03-2019 18:00:00,0,0
330019,22-03-2019 00:00:00,,0
330019,22-03-2019 12:00:00,0,0
330019,22-03-2019 18:00:00,0,0
330019,23-03-2019 00:00:00,0,0
330019,23-03-2019 12:00:00,0,0
330019,23-03-2019 18:00:00,0,0
330019,24-03-2019 00:00:00,0,0
330019,24-03-2019 12:00:00,0,0
330019,24-03-2019 18:00:00,0,0
330019,25-03-2019 00:00:00,0,0
330019,25-03-2019 12:00:00,0,0
330019,25-03-2019 18:00:00,0,0
330019,26-03-2019 00:00:00,,0
330019,26-03-2019 12:00:00,0,0
330019,26-03-2019 18:00:00,0,0
330019,27-03-2019 00:00:00,0,0
330019,27-03-2019 12:00:00,0,0
330019,27-03-2019 18:00:00,0,0
330019,28-03-2019 00:00:00,0,0
330019,28-03-2019 12:00:00,0,0
330019,28-03-2019 18:00:00,0,0
330019,29-03-2019 00:00:00,0,0
330019,29-03-2019 12:00:00,0,0
330019,29-03-2019 18:00:00,0,0
330019,30-03-2019 00:00:00,0,0
330019,30-03-2019 12:00:00,0,0
330019,30-03-2019 18:00:00,0,0
330019,31-03-2019 00:00:00,0,0
330019,31-03-2019 12:00:00,2,0
330019,31-03-2019 18:00:00,0,0
330019,1/4/19 0:00,0,0
330019,1/4/19 12:00,0,0
330019,1/4/19 18:00,0,0
330019,2/4/19 0:00,0,0
330019,2/4/19 12:00,0,0
330019,2/4/19 18:00,0,0
330019,3/4/19 0:00,0,0
330019,3/4/19 12:00,0,0
330019,3/4/19 18:00,0,0
330019,4/4/19 0:00,,0
330019,4/4/19 12:00,0,0
330019,4/4/19 18:00,0,0
330019,5/4/19 0:00,0,0
330019,5/4/19 12:00,0,0
330019,5/4/19 18:00,0,0
330019,6/4/19 0:00,0,0
330019,6/4/19 12:00,0,0
330019,6/4/19 18:00,0,0
330019,7/4/19 0:00,0,0
330019,7/4/19 12:00,0,0
330019,7/4/19 18:00,0,0
330019,8/4/19 0:00,,0
330019,8/4/19 12:00,0,0
330019,8/4/19 18:00,0,0
330019,9/4/19 0:00,0,0
330019,9/4/19 12:00,0,0
330019,9/4/19 18:00,0,0
330019,10/4/19 0:00,0,0
330019,10/4/19 12:00,0,0
330019,10/4/19 18:00,0,0
330019,11/4/19 0:00,,0
